,Study Title,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Locations,study_duration
0,Effectiveness of a Problem-solving Intervention for Common Adolescent Mental Health Problems in India,0,"We will conduct a two-arm individually randomized controlled trial in six Government-run secondary schools in New Delhi. The targeted sample is 240 adolescents in grades 9-12 with persistent, elevated mental health difficulties and associated impact. Participants will receive either a brief problem-solving intervention delivered by lay counsellors (intervention), or enhanced usual care comprised of problem-solving booklets (control). Self-reported adolescent mental health difficulties and idiographic problems will be assessed at 6 weeks (co-primary outcomes) and again at 12 weeks post-randomization. In addition, adolescent-reported impact of mental health difficulties, perceived stress, mental wellbeing and clinical remission, as well as parent-reported adolescent mental health difficulties and impact scores, will be assessed at 6 and 12 weeks post-randomization. Parallel process evaluation, including estimations of the costs of delivering the interventions, will be conducted.",0,"Mental Health Issue (E.G., Depression, Psychosis, Personality Disorder, Substance Abuse)",behavioral: pride 'step 1' problem-solving intervention|behavioral: enhanced usual care,"Mental health symptoms, The Strengths and Difficulties Questionnaire (SDQ) is a 25-item self-report measure of youth mental health symptoms (Goodman et al., 2000). A Total Difficulties score is derived by summing items from four problem subscales (Emotional, Conduct, Hyperactivity/inattention and Peer problems). The measure is the most widely used clinical and research instrument in the field of child and adolescent mental health globally. The Hindi version will be used in complementary forms for self-report by adolescents and parents. The adolescent-reported SDQ Total Difficulties score (at 6-week end-point) will be a co-primary outcome, while the corresponding caregiver-reported SDQ Total Difficulties score will be an exploratory outcome., 6 weeks|Idiographic problems, The Youth Top Problems (YTP) is a brief, idiographic measure which identifies, prioritizes and scores respondents' three main problems (Weisz et al., 2011). Each nominated problem is scored from 0 ('not a problem') to 10 ('huge problem'). A mean severity score is calculated by summing individual problem scores and then dividing by the number of nominated problems. The YTP will be used to assess problems that other scales might address generally or otherwise miss; while providing a sensitive measure of specific priorities of the participant within a larger array of problems., 6 weeks","Mental health symptoms, The adolescent-reported SDQ Total Difficulties score at 12 weeks will be a secondary outcome, while the corresponding caregiver-reported SDQ Total Difficulties score will be an exploratory outcome., 12 weeks post-randomization|Idiographic problems, The adolescent-reported YTP severity score at 12 weeks will be a secondary outcome., 12 weeks post-randomization|Impact of mental health problems, The SDQ Impact Supplement measures distress and functional impairment associated with index mental health problems identified on the main SDQ scale. The adolescent-reported SDQ Impact Supplement score will be a secondary outcome, while the corresponding caregiver-reported SDQ Impact Supplement score will be an exploratory outcome., 12 weeks post-randomization|Internalising symptoms, Adolescent-reported internalising symptoms will be assessed as a secondary outcome using the combined peer and emotional problem sub-scales of the SDQ. The corresponding caregiver-reported SDQ Internalising score will be an exploratory outcome., 12 weeks post-randomization|Externalising symptoms, Adolescent-reported externalising symptoms will be assessed as a secondary outcome using the combined conduct and hyperactivity problem sub-scales of the SDQ. The corresponding caregiver-reported SDQ Externalising score will be an exploratory outcome., 12 weeks post-randomization|Prosocial behaviour, Adolescent-reported prosocial behaviour will be assessed as an exploratory outcome using the prosocial sub-scale of the SDQ., 12 weeks post-randomization|Perceived stress, The adolescent-reported Perceived Stress Scale-4-item version (PSS-4) will be used as a secondary outcome measure to assess the perception of stress, reflecting the degree to which situations are appraised as stressful during the preceding month (Cohen et al., 1983). This measure was chosen because of its relevance as a presumed mechanism of change within the problem-solving intervention, consistent with stress-coping theory (Lazarus \& Folkman, 1984). It has been translated into Hindi and used in a number of surveys and as an outcome measure in trials around the world (Lee, 2012)., 12 weeks post-randomization|Mental wellbeing, The adolescent-reported Short Warwick-Edinburgh Mental Wellbeing Scale (SWEMWBS) will be used as a secondary measure to assess mental wellbeing (Stewart-Brown et al., 2009), which has been closely linked with social factors such as peer bullying and perception of school connectedness (Patalay \& Fitzsimons; 2016). It may therefore be especially amenable to problem-solving around common life difficulties encountered by school-going adolescents. The SWEMWBS is widely used internationally (Stewart-Brown, 2013) and a Hindi version is available., 12 weeks post-randomization|Clinical remission, This secondary outcome will be defined as falling below baseline eligibility cut-offs on both the SDQ Total Difficulties scale and Impact Supplement (i.e. SDQ Total Difficulties score in normal range and Impact score in the normal or borderline range)., 12 weeks post-randomization",Sangath,Harvard Medical School (HMS and HSDM)|London School of Hygiene and Tropical Medicine,ALL,"CHILD, ADULT",NO PHASE,210-490,OTHER,1,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT","Sangath, New Delhi, Delhi, 110016, India",123-244
1,Investigating the Effect of a Prenatal Family Planning Counseling Intervention Led by Community Health Workers on Postpartum Contraceptive Use Among Women in the West Bank,0,"The purpose of this study is to measure the difference in proportion of postpartum women using contraception after a Community Health Worker (CHW) family planning educational intervention compared to women who receive standard care in the West Bank district of Ramallah and Al-Bireh.

Primary hypothesis: Postpartum contraceptive use will increase in women who receive a dedicated family planning counseling intervention delivered by CHWs during antenatal care compared to women receiving usual care.",0,Focus: Contraceptive Counseling|Focus: Postpartum Contraception,other: family planning counseling let by community health workers,"Self-reported contraceptive use, 6 months post-partum","Intent to use contraception in the future, 6 months postpartum|Non-desire to use contraception, 6 months postpartum",Planned Parenthood League of Massachusetts,Society for Family Planning Research Fund,FEMALE,"CHILD, ADULT, OLDER_ADULT",NO PHASE,120-209,OTHER,1,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: ,"Palestinian Ministry of Health Maternal Child Health Clinics (Ramallah and Al-Bireh), Ramallah and Al-Bireh, West Bank, Palestinian Territories, Occupied",366-515
2,Pre-exposure Prophylaxis (PrEP) for People Who Inject Drugs (PWID),1,"People who inject drugs (PWID) experience high risk of HIV acquisition. Antiretroviral pre-exposure prophylaxis (PrEP) is an efficacious biomedical HIV prevention strategy for high risk HIV-uninfected individuals including PWID, yet uptake has been low in this population and uptake and adherence interventions have not been developed or tested. Drawing from formative qualitative research, the overall goal of this project is to develop an intervention to promote PrEP uptake and adherence among PWID in the U.S. Northeast. The investigators will:

* Analyze existing literature and data to identify specific barriers and facilitators to PrEP uptake and adherence among PWID to inform the initial adaptation of existing theory-based interventions;
* Conduct qualitative interviews with \~30 PWID and \~10 key informants (PrEP and other clinical and social service providers) to identify intervention targets;
* Develop and iteratively refine and finalize an intervention manual based on feedback from qualitative exit-interviews with an interventionist and \~10 PWID; and
* Conduct a pilot randomized clinical trial (RCT) in \~50 HIV-uninfected PWID to compare PrEP uptake and adherence outcomes and assess intervention feasibility and acceptability.",0,Intravenous Drug Abuse,behavioral: prep uptake/adherence intervention|behavioral: harm reduction standard of care,"PrEP uptake by self-report, measured using 1 item in a structured questionnaire, 1 month|PrEP uptake by self-report, measured using 1 item in a structured questionnaire, 3 months|PrEP uptake by pharmacy records, measured by accessing pharmacy records, 1 month|PrEP uptake by pharmacy records, measured by accessing pharmacy records, 3 months|PrEP adherence by self-report, measured using 1 item in a structured questionnaire to determine the proportion of doses taken as prescribed, 1 month|PrEP adherence by self-report, measured using 1 item in a structured questionnaire to determine the proportion of doses taken as prescribed, 3 months|PrEP adherence by dried blood spot, measured via detection of tenofovir and emtricitabine in dried blood spots (DBS), 1 month|PrEP adherence by dried blood spot, measured via detection of tenofovir and emtricitabine in dried blood spots (DBS), 3 months","Participant satisfaction with intervention content, assessed via qualitative exit interviews exploring satisfaction with the intervention content (including an open-ended question on topics that were helpful and unhelpful), 1 month|Participant satisfaction with intervention delivery methods, assessed via qualitative exit interviews exploring satisfaction with the intervention delivery methods (including an open-ended question on how helpful or unhelpful the intervention delivery methods were), 1 month|Interventionist satisfaction with training materials, assessed via qualitative exit interviews exploring satisfaction with the training materials for interventionists (including an open-ended question on how helpful or unhelpful the training materials were), 1 month|Interventionist satisfaction with intervention manual, assessed via qualitative exit interviews exploring satisfaction with the intervention manual (including an open-ended question on how helpful or unhelpful the intervention manual was), 1 month|Interventionist satisfaction with intervention content, assessed via qualitative exit interviews exploring satisfaction with the intervention content (including an open-ended question on topics that were helpful and unhelpful), 1 month|Interventionist satisfaction with intervention delivery methods, assessed via qualitative exit interviews exploring satisfaction with the training materials, intervention manual, intervention content, intervention delivery methods (including an open-ended question on how helpful or unhelpful the intervention delivery methods were), 1 month",Boston University,National Institute on Drug Abuse (NIDA),ALL,"ADULT, OLDER_ADULT",NO PHASE,0-8,OTHER,1,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH,unknown,245-365
3,Tailored Inhibitory Control Training to Reverse EA-linked Deficits in Mid-life,0,"Insufficient inhibitory control is one pathway through which early adversity is related to a range of problems including excessive alcohol use, tobacco use, and unhealthy eating. The proposed research leverages a neurally informed model of inhibitory control and how it can be improved to test the efficacy of a person-centered inhibitory control intervention in a sample of mid-life individuals with early adversity. The knowledge obtained by this study could be scaled into a flexible, low-cost, and wide-ranging intervention to remediate some of the effects of early adversity on inhibitory control and thus a number of prevalent health risking behaviors.",0,Smoking|Alcohol Drinking|Prescription Drug Abuse|Substance-Related Disorders|Oral Intake Reduced,behavioral: person-centered inhibitory control training|behavioral: active behavioral response training,"Inhibitory control performance, Task 1, Performance on a standard inhibitory control task (Stop-Signal) with personal risk cues, 1 month|Inhibitory control performance, Task 2, Performance on a standard inhibitory control task (Go/No-Go) with personal risk cues, 1 month|Inhibitory control neural activity, Early (""proactive"") engagement of the inferior frontal gyrus and dorsal anterior cingulate cortex during the inhibitory control tasks, 1 month","Far transfer to a task related to inhibitory control, Behavioral marker, Performance on a standard risky-behavior task (Balloon Analogue Risk task), 1 month|Far transfer to a task related to inhibitory control, Neural marker, Neural activity during a standard risky-behavior task (Balloon Analogue Risk task), 1 month|Health-risking behavior, Standard self-report questions regarding health-risking behavior related to inhibitory control (e.g., cigarette smoking, excessive alcohol intake, illicit drug use and prescription drug misuse, and excessive energy intake), 1 month, 3 months",University of Oregon,none,ALL,ADULT,NO PHASE,80-119,OTHER,1,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: PREVENTION,"University of Oregon, Social and Affective Neuroscience Laboratory, Eugene, Oregon, 97403, United States",516-671
4,Neuromodulation of Trauma Memories in PTSD & Alcohol Dependence,0,"The purpose of this study is to examine the effect of propranolol versus placebo on craving, distress and cue reactivity to trauma and alcohol cues.",1,Alcohol Dependence|PTSD,drug: propranolol|drug: placebo,"Retrieval Session Distress Scores (Session 1), Found by using our Single Item Distress (SID) scale. A study team member asks the participant to verbally report the level of distress they were experiencing using values between 0 and 100, with 0 representing no distress and 100 extreme distress., Multiple times throughout cue exposure during retrieval session (Session 1)|Retrieval Session Craving Scores (Session 1), Found by using our Single Item Craving (SIC) scale. A study team member asks the participant to verbally report the level of craving they were experiencing using values between 0 and 100, with 0 representing no craving and 100 extreme craving for alcohol., Multiple times throughout cue exposure during retrieval session (Session 1)|Test Session Distress Scores (Session 2), Found by using our Single Item Distress (SID) scale. A study team member asks the participant to verbally report the level of distress they were experiencing using values between 0 and 100, with 0 representing no distress and 100 extreme distress., Multiple times throughout cue exposure during test session (Session 2)|Test Session Craving Scores (Session 2), Found by using our Single Item Craving (SIC) scale. A study team member asks the participant to verbally report the level of craving they were experiencing using values between 0 and 100, with 0 representing no craving and 100 extreme craving for alcohol., Multiple times throughout cue exposure during test session (Session 2)","Proportion of Drinking Days, Proportion of drinking days from 90 days prior to the screening to the follow-up period., 90 days prior to participation in study up to 2-week follow up session (Session 3)",Medical University of South Carolina,National Institute on Alcohol Abuse and Alcoholism (NIAAA),ALL,"ADULT, OLDER_ADULT",PHASE2,42-59,OTHER,1,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT","MUSC, Charleston, South Carolina, 294258908, United States",862-1097
5,High Intensity Interval Training Versus Circuit Training,0,"High intensity interval training (HIIT) and circuit training (CT) are popular methods of exercise, eliciting improvements in cardiorespiratory fitness (CRF). However direct comparisons of these two training methods are limited.",1,High Intensity Interval Training,other: high intensity interval training|other: circuit training,"Maximal Oxygen Consumption (ml.Kg-1.Min-1), Maximal oxygen consumption (ml.kg-1.min-1), as determined during a cardiopulmonary exercise test (CPET) represents the upper limit of aerobic fitness in humans. A low VO2max is associated with a greater risk of premature all-cause and cardiovascular mortality, independent of traditional risk factors and physical activity status. Conversely, increasing VO2max through exercise training may improve cardiometabolic health, quality of life and increase life-expectancy, Baseline and 8 weeks","Oxygen Consumption at the Ventilatory Anaerobic Threshold, Oxygen consumption at the Ventilatory Anaerobic Threshold ml/kg/min. This measure will assess if individuals can exercise at higher intensities before lactate accumulation, thus becoming 'physiologically efficient, Baseline and 8 weeks",University of Central Lancashire,University of Hull,ALL,"ADULT, OLDER_ADULT",NO PHASE,30-41,OTHER,1,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: BASIC_SCIENCE,"Univeristy of Hull, Hull, Kingston Upon Hull, HU67RX, United Kingdom",516-671
6,A Pilot Study Exploring the Efficacy and Safety of Topical Oxybutynin 3% Gel for Primary Focal Hyperhidrosis in Adolescents and Young Adults,0,"This is a single-center, prospective, open-label, outpatient pilot study evaluating the efficacy and tolerability of oxybutynin gel for axillary hyperhidrosis.",1,Hyperhidrosis,drug: oxybutynin 3% gel,"Number of Patients With Improvement in Hyperhidrosis Severity at Week 1 or Week 4 as Measured by the Hyperhidrosis Disease Severity Scale (HDSS)., A treatment responder is defined as any participant with a change in the Hyperhidrosis Disease Severity Scale (HDSS) score from a baseline score of 3 or 4 to a score of 1 or 2 at week 1 or week 4., Week 1 and week 4",none,"University of Colorado, Denver",Society for Pediatric Dermatology,ALL,"CHILD, ADULT",NO PHASE,9-19,OTHER,1,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,"Children's Hospital, Colorado, Aurora, Colorado, 80045, United States",366-515
7,A Pilot Study to Assess the Effectiveness of BehaviouRal ActiVation Group Program in Patients With dEpression: BRAVE,0,"The study's primary goal is to assess the effectiveness of behavioural activation in reducing depressive symptoms and re-integrate patients with depression into their personal and professional lives thus improving quality of life and helping in attaining and maintaining remission of depression. It is aimed at helping patients re-engage with several life areas that they may have lost in the course of depressive illness. The intervention is centred on behavioural activation (BA) with complementary interventions including recreation activities, and behavioural modifications. The study question is: in patients with depressive disorder attending a specialized hospital based mood disorders clinic, does the addition of behavioural activation program delivered in a group format improve depressive symptoms and quality of life compared to treatment as usual after 18 weeks of treatment? Study investigators hypothesize that behavioural activation is an effective treatment for depressive disorder in patients with depression.",0,Depression,behavioral: behavioral activation|behavioral: support group,"Recruitment and retention rates, data completion, and resource utilization., Assess feasibility of the study process in terms of recruitment, retention, number of sessions completed, average group size and data completion., Baseline, Week 18","Qualitative study feedback., The qualitative component of the pilot study is to assess the need to modify the protocol for the main trial based on participant's feedback., At weeks 2 and 10 of the 18 week program.|Feasibility of economic evaluation using the EuroQol economic evaluation tool; EQ-5D-5L., EQ-5D-5L is a commonly used standardized generic measure of health and economic appraisal in a variety of clinical conditions. This will assist in the exploration of economic evaluation of the behavioral activation program in the main trial. the EQ-5D-5L consists of five dimensions: mobility, self-care, usual activities, pain/discomfort, and anxiety/depression. The response to each dimension is a five-level severity ranging from ""no problem"" to ""extreme problem""., Baseline, Week 18",St. Joseph's Healthcare Hamilton,none,ALL,"ADULT, OLDER_ADULT",NO PHASE,20-29,OTHER,1,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,"St. Joseph's Healthcare Hamilton, Hamilton, Ontario, L8N 3K7, Canada",1098-1460
8,Promoting Wellbeing: The Five Ways to All Intervention,0,"This project is funded by Stiftelsen Dam and is a cooperation between The Norwegian Council for Mental Health (NCMH) and PROMENTA research group at the University of Oslo. Low-cost and evidence-based health promoting public health tools are urgently needed in Norwegian municipalities, to meet both current and future challenges with mental health and wellbeing. The aim in this randomized controlled trail is to test if a shorter, 10 week web-based version (The Five Ways to All, ""5WaysA""), of an already established course (Five Ways to Wellbeing course), can promote wellbeing and mastery in the general population. The principal investigator will investigate to what extend the effects are short-term and long-term (i.e., 10 weeks, 18 weeks and 12 months after starting to receive the 5WaysA intervention).",0,Wellbeing|Health Attitude|Quality of Life,behavioral: 5waysa intervention|behavioral: 5waysa active wait-list control|behavioral: 5waysa inactive wait-list control,"Wellbeing (Subjective wellbeing, global life satisfaction), Satisfaction With Life Scale (Diener, 2009) Scoring: 31 - 35 Extremely satisfied, 26 - 30 Satisfied, 21 - 25 Slightly satisfied, 20 Neutral,15 - 19 Slightly dissatisfied, 10 - 14 Dissatisfied and 5 - 9 Extremely dissatisfied, 12 months|Wellbeing (Psychological wellbeing, self-perceived success in different aspects of life), Flourishing Scale (Diener et. al 2009). Scores from 8 (lowest possible wellbeing) to 56 (highest possible wellbeing)., 12 months","Mastery, Pearlin and Schooler (1978). Scores from 7-49, the higher score the higher mastery., 12 months|Mental health (symptoms of depression and anxiety,), Hopkins Symptom Checklist-8 (HSCL-8). Scores from 0-32, the higher score the more symptoms (Tambs \& Røysamb, 2014), 12 months|Social life, Oslo Social Support Scale-3 (OSS-3) Scores: 3-14, where high levels represent high levels of social support, 12 months|Physical health, Two questions from 12-Item Short Form Survey (SF-12) Scores: 12-47, where higher scores mean poorer health, 12 months",University of Oslo,Norwegian Institute of Public Health|Norwegian Council for Mental Health|The Dam Foundation,ALL,"ADULT, OLDER_ADULT",NO PHASE,491-188814085,OTHER,1,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,"Monica Beer Prydz, Asker, Norge, 1397, Norway",672-861
9,Study of Tazemetostat as Single Agent in Solid Tumors or B-cell Lymphomas and in Combination With Prednisolone in DLBCL,0,"This is an open-label, multicenter, Phase 1/2 study of tazemetostat as a single agent in subjects with advanced solid tumors or with B-cell lymphomas and tazemetostat in combination with prednisolone in subjects with diffuse large B-cell lymphoma (DLBCL).",1,B-cell Lymphomas (Phase 1)|Advanced Solid Tumors (Phase 1)|Diffuse Large B-cell Lymphoma (Phase 2)|Follicular Lymphoma (Phase 2)|Transformed Follicular Lymphoma|Primary Mediastinal Large B-Cell Lymphoma,drug: tazemetostat|drug: prednisolone|drug: tazemetostat,"Recommended Phase 2 Dose (RP2D) of Tazemetostat as a Single-Agent and in Combination With Prednisolone (Phase 1 Only), Recommended Phase 2 dose (RP2D) of tazemetostat as administered orally twice daily (BID), continuously in 28-day cycles in subjects with advanced solid tumors or with relapsed and/or refractory B cell lymphomas as determined by incidence, seriousness, toxicity grade, and relatedness of treatment emergent dose limiting toxicities, The first 28-day cycle of therapy|Objective Response Rate (ORR; Complete Response + Partial Response [CR + PR]) (Phase 2), Number of patients achieving an objective response (CR or PR)/number of patients treated x 100%. ORR was calculated as the percentage of patients with a confirmed complete response (CR) or partial response (PR) relative to the total number of patients in the analysis population per response evaluation criteria in solid tumors (RECIST) version (v)1.1. Complete Response (CR) was defined as disappearance of all target and non-target lesions and any pathological lymph nodes must be \<10 millimeter (mm) in the short axis. Partial Response (PR) was defined as at least a 30% decrease in the sum of the diameters of target lesions, taking as a reference, the baseline sum of the diameters., Radiologic tumor assessments performed at baseline(within 28 days before start of study treatment)and every 8 weeks during Cycles 2 to 6,and then every 12 weeks thereafter until confirmed disease progression (PD)/death,a maximum of approximately 82 months","Duration of Response for Tazemetostat as a Single Agent or in Combination With Prednisolone (Phase 2 Only), The time (in months) from the date of the initial response (CR or PR, whichever was first) until the date of the first documented disease progression per an Independent Review Committee (for Groups 1 and 2), per Investigator (Group 3), or death due to any cause. Patients who were alive and progression free at the time of the analysis were censored at the last date where the patient was known to be in response. Note: the DOR was censored, meaning data collection was stopped early for analysis, making the top limit of the 95% confidence interval not estimable (NE). Per RECIST v.1.0, CR was defined as disappearance of all target and non-target lesions and any pathological lymph nodes must be \<10 mm in the short axis. The PR was defined as at least a 30% decrease in the sum of the diameters of target lesions, taking as a reference, the baseline sum of the diameters., Radiologic tumor assessments performed at baseline (within 28 days before start of study treatment) and every 8 weeks during Cycles 2 to 6, and then every 12 weeks thereafter until confirmed PD/death, a maximum of approximately 82 months|Progression Free Survival for Tazemetostat as a Single Agent or in Combination With Prednisolone (Phase 2 Only), The time (in months) from the date of first dose of tazemetostat until the earliest date of disease progression or death from any cause. Per RECIST v1.0, CR was defined as disappearance of all target and non-target lesions and any pathological lymph nodes must be \<10 mm in the short axis. The PR was defined as at least a 30% decrease in the sum of the diameters of target lesions, taking as a reference, the baseline sum of the diameters., Radiologic tumor assessments performed at baseline (within 28 days before start of study treatment) and every 8 weeks during Cycles 2 to 6, and then every 12 weeks thereafter until confirmed PD/death, a maximum of approximately 82 months","Epizyme, Inc.",none,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE1|PHASE2,210-490,INDUSTRY,1,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,"Birmingham, Alabama, 35294, United States|Duarte, California, 91010, United States|Santa Barbara, California, 93105, United States|Aurora, Colorado, 80012, United States|Washington, District of Columbia, 20057, United States|Ocala, Florida, 34471, United States|Ann Arbor, Michigan, 48109, United States|New York, New York, 10065, United States|Houston, Texas, 77030, United States|San Antonio, Texas, 78217, United States|Fairfax, Virginia, 22031, United States|Seattle, Washington, 98122, United States|Clayton, Australia|Geelong, Australia|Melbourne, Australia|Montreal, Canada|Toronto, Canada|Bordeaux, France|Caen, France|Creteil, France|Lille, France|Lyon, France|Marseille, France|Montpellier, France|Nantes, France|Paris, France|Pierre Benite, France|Rennes, France|Rouen, France|Villejuif Cedex, France|Gottingen, Germany|Muenster, Germany|Bologna, Italy|Napoli, Italy|Krakow, Poland|Lublin, Poland|Poznan, Poland|Warsaw, Poland|Taipei City, Taiwan|Chernivtsi, Ukraine|Dnipro, Ukraine|Ivano-Frankivs'k, Ukraine|Kharkiv, Ukraine|Kyiv, Ukraine|Mykolayiv, Ukraine|Uzhgorod, Ukraine|Zaporizhzhya, Ukraine|Zhytomyr, Ukraine|Glasgow, United Kingdom|London, United Kingdom|Manchester, United Kingdom|Southampton, United Kingdom",2050-38562
